Zing Zap,,,8,EOT,2,"Melee, 1 Target",Zing Zap Flinches the target on 15+.,--,Physical,Electric,o,o,,,,,,,,
Name,Type,Category,Damage base,Frequency,AC,Range,Effects,Contest Stats,Category,Type,,,,,,,,,,
Aromatic Mist,,,--,EOT,--,Burst 1,Raise the Special Defense of all allied legal targets by +1 CS.,Cute - Get Ready!,Status,Fairy,,,,,,,,,,
Baby-Doll Eyes,,,--,EOT,2," 4, 1 Target, Priority, Social",Lower the target's Attack by -1 CS.,Cute - Excitement,Status,Fairy,,,,,,,,,,
Charm,,,--,EOT,2,"6, 1 Target, Social",Lower the target’s Attack by -2 CS.,Cute - Excitement,Status,Fairy,,,,,,,,,,
Crafty Shield,,,--,Scene,--,"Burst 2, Trigger, Interrupt, Shield","If the user or an Ally within 2 meters of Crafty Shield's user is hit by a Status Move, you may use Crafty Shield as an Interrupt. All targets in Crafty Shield's area-of-effect including the user, are instead not hit by the triggering Move and do not suffer any of its effects.",Smart - Inversed Appeal,Status,Fairy,,,,,,,,,,
Dazzling Gleam,,,8,EOT,2,Cone 2,--,Cute - Exhausting Act,Special,Fairy,,,,,,,,,,
Decorate,,,--,Scene,--,"Melee, 1 Target",The target gains +2 CS in both Attack and Special Attack.,Beauty - Reflective Appeal,Status,Fairy,,o,,,,,,,,
Disarming Voice,,,4,At-Will,--,Burst 1,Disarming Voice cannot miss.,Cute - Exhausting Act,Special,Fairy,,,o,,,,,,,
Draining Kiss,,,5,EOT,2,"Melee, 1 Target",The user gains HP equal to half of the damage the user dealt to the target.,Cute - Good Show!,Special,Fairy,,o,o,,,,,,,
Fairy Lock,,,--,Scene,--,"Burst 3, Friendly","All legal targets become Trapped and Slowed while the user remains in the encounter. If the user is switched or knocked out, this effect ends.",Cute - Unsettling,Status,Fairy,,,,,,,,,,
Fairy Wind,,,4,At-Will,2,"6, 1 Target",--,Cute - Steady Performance,Special,Fairy,,,o,,,,,,,
Fleur Cannon,,,13,Scene,4,"Line 9, Smite",Lower the user’s Special Attack 2 Combat Stages after damage.,--,Special,Fairy,,,,,,,,,,
Floral Healing,,,--,Daily x2,--,"Melee, 1 Target, Healing","The target recovers 1/2 their maximum Hit Points. If the Field is Grassy Terrain, the target instead recovers 2/3 their maximum Hit Points.",--,Status,Fairy,,,,,,,,,,
Flower Shield,,,--,Scene,--,Burst 2,Raise the Defense of all Grass-Type legal targets by +2 CS.,Cute - Get Ready!,Status,Fairy,,,,,,,,,,
Geomancy,,,--,Scene,--,"Self, Set Up","Set-Up Effect: The user may not shift this round. The user may create as many squares of Rough Terrain as it wants within a Burst 3 as plants burst through the ground, regardless of the surface material. Resolution Effect: Geomancy raises the user's Special Attack, Special Defense, and Speed by +2 CS.",Beauty - Catching Up,Status,Fairy,,,,,,,,,,
Light of Ruin,,,14,Scene,4,"8, Ranged Blast 3, Smite, Recoil 1/2",--,Beauty - Seen Nothing Yet,Special,Fairy,,,,o,,,,,,o
Spirit Break,,,8,EOT,2,"Melee, 1 Target",The target’s Special Attack stat is lowered 1 CS.,Tough - Sabotage,Physical,Fairy,,o,,,,,,,,
Springtide Storm,,,10,Scene,5,"6, Ranged Blast 3, Smite"," If the user is not in Therian Forme, the user has each of its stats raised by +1 CS on a 16+. If the user is in Therian Form, the target has each of its stats lowered by -1 CS on a 16+.",Cute - Desperation,Special,Fairy,o,,,,,,,,,
Sweet Kiss,,,--,Scene x2,6,"6, 1 Target, Social","The target is Confused. On miss, the target suffers a -2 penalty to Accuracy Rolls for one full round.",Cute - Excitement,Status,Fairy,,,,,,,,,,
Misty Explosion,,,10,Daily,2,"Burst 3, Friendly, Smite","The user’s Hit Points are set to -50% of their full Hit Point value. This Hit Point loss cannot be prevented or reduced in any way. After Misty Explosion  is resolved, create Misty Terrain in a Blast 7, centered on the user, that lasts for 5 turns. Any creatures in those spaces are affected as if by the Field Move Misty Terrain, rather than any other Field Move.",Cute - Sabotage,Special,Fairy,,,,,,,,,,
Misty Terrain,,,--,Daily x2,--,Field,"The area becomes Misty for 5 turns, While Misty, all Pokemon and Traners standing on the ground ignore the first turn of all Status Afflictions, and Dragon-type attacks targeting or origination from a grounded Pokemon or Trainer take a -10 Penalty to Damage Rolls.",Beauty - Get Ready!,Status,Fairy,,,,,,,,,,
Moonblast,,,10,EOT,2,"6, 1 Target",Moonblast lowers the target’s Special Attack by -1 CS on 15+.,Beauty - Reflective Apeal,Special,Fairy,o,,,,,,,,,
Moonlight,,,--,Daily x2,--,"Self, Healing","The user regains HP equal to half of its full HP. If it is Sunny, the user gains 2/3 of its full HP. If it is Rainy, Sand Storming, or Hailing, the user gains 1/4 of its full HP.",Beauty - Reflective Appeal,Status,Fairy,,,,,,,,,,
Nature's Madness,,,--,Scene,4,"4, 1 Target, HP Loss",The target loses half of their current Hit Points.,--,Special,Fairy,,,,,,,,,,
Play Rough,,,9,EOT,4,"Melee, 1 Target",Play Rough lowers the target’s Attack by -1 CS on 17+.,Cute - Excitement,Physical,Fairy,o,o,,,,,,,,
Strange Steam,,,9,Scene x2,3,Burst 1,The target is confused on 17+.,Beauty - Good Show,Special,Fairy,o,,,,,,,,,
Name,Type,Category,Damage base,Frequency,AC,Range,Effects,Contest Stats,Category,Type,,,,,,,,,,
Arm Thrust,,,2,EOT,4,"Melee, 1 Target, Five Strike",--,Tough - Reliable,Physical,Fighting,,o,o,,,,,,,
Aura Sphere,,,8,EOT,--,"8, 1 Target, Aura",Aura Sphere cannot miss.,Beauty - Exhausting Act,Special,Fighting,,,,,,o,o,,,
Body Press,,,8,Scene x2,2,"Melee, 1 Target", The user’s Defense Stat is added to the damage roll instead of the Attack Stat.,Tough - Gamble,Physical,Fighting,,o,,,,,,,,
Brick Break,,,8,At-Will,2,"Melee, 1 Target", Light Screen and Reflect may not be activated in response to Brick Break.,Cool - Steady Performance,Physical,Fighting,,o,,,,,,,,
Bulk Up,,,--,EOT,--,Self,Raise the user’s Attack and Defense by +1 CS each.,Beauty - Get Ready!,Status,Fighting,,,,,,,,,,
Circle Throw,,,6,At-Will,4,"Melee, 1 Target, Push",The target is Pushed 6 meters minus their Weight Class. The target is also Tripped on 15+.,Tough - Big Show,Physical,Fighting,o,o,o,,,,,,,
Close Combat,,,12,Scene x2,2,"Melee, 1 Target, Dash",Lower the user’s Defense and Special Defense by -1 CS each after damage.,Smart - Seen Nothing Yet,Physical,Fighting,,o,,,,,,,,o
Coaching,,,--,EOT,--,Burst 1,The user and any allies in the Burst have their Attack and Defense raised by 1 CS. ,Tough - Get Ready,Status,Fighting,,,,,,,,,,
Counter,,,See Effect,Scene x2,--,"Melee, 1 Target, Reaction, Trigger","Counter may be used as a Reaction when the user is hit by a damaging Physical Attack. Resolve the Triggering Attack, with Counter's user resisting the attack one step further. After the attack is resolved, if Counter's user was not Fainted, the triggering foe then loses Hit Points equal to twice the amount of Hit Points lost by the user from the triggering attack. Note that Counter is Physical, and while it cannot miss, it cannot hit targets immune to Fighting-Type Moves.",Tough - Double TIme,Physical,Fighting,,o,,,,,,,,
Cross Chop,,,10,Scene x2,4,"Melee, 1 Target",Cross Chop is a Critical Hit on 16+.,Cool - Desperation,Physical,Fighting,,o,,,,,,,,
Detect,,,--,Scene,--,"Self, Trigger, Interrupt, Shield","If the user is hit by a Move, the user may use Detect. The user is instead not hit by the Move. You do not take any damage nor are you affected by anty of the Move's effects",Cool - Inversed Appeal,Status,Fighting,,,,,,,,,,
Double Kick,,,3,At-Will,3,"Melee, 1 Target, Double Strike",--,Cool - Reliable,Physical,Fighting,,o,o,,,,,,,
Drain Punch,,,8,Scene x2,2,"Melee, 1 Target, Aura","After the target takes damage, the user gains HP equal to half of the damage it dealt to the target.",Beauty -  Good Show!,Physical,Fighting,,o,,,o,,,,,
Dynamic Punch,,,10,At-Will,9,"Melee, 1 Target",Dynamic Punch Confuses the target. Dynamic Punch ignores the target's Evasion if they are Flanked.,Cool - Desperation,Physical,Fighting,,o,,,o,,,,,
Final Gambit,,,--,Scene,2,"Melee, 1 Target",Final Gambit lowers the user to 0 Hit Points and causes them to Faint. Final Gambit then deals 1 point of damage to the target for every Hit Point lost by the user. Final Gambit does not cause items to activate.,Tough - Big Show,Special,Fighting,,o,,,,,,,,
Flying Press,,,8,EOT,3,"Melee, Dash, 1 Target","Flying Press may deal Flying Type damage if the user wishes. NOTE: If Flying Press is Move Sync'd, it only changes the Fighting Type portion of the Move. You can still only choose between that Type and Flying Type; you cannot shift Flying Press to change the Flying part to another Type.",Tough - Big Show,Physical,Fighting,,o,,,,,,,,
Flying Press [SM],,,10,EOT,3,"Melee, Dash, 1 Target","Flying Press may deal Flying Type damage if the user wishes. NOTE: If Flying Press is Move Sync'd, it only changes the Fighting Type portion of the Move. You can still only choose between that Type and Flying Type; you cannot shift Flying Press to change the Flying part to another Type.",Tough - Big Show,Physical,Fighting,,o,,,,,,,,
Focus Blast,,,12,Scene x2,7,"6, 1 Target, Smite, Aura",Focus Blast lowers the target's Special Defense by -1 CS on 18+.,Cool - Exhausting Act,Special,Fighting,o,,,,,,,,,
Focus Punch,,,15,Scene x2,2,"Melee, 1 Target, Priority (Limited), Aura","Use of Focus Punch must be declared as a Priority (Limited) action at the beginning of the round. Nothing happens at this time. At the end of the round, if the target hasn't been hit by an attack dealing damage equal to at least 25% of the user's Maximum Hit Points, the user may Shift and use Focus Punch. Focus Punch's Frequency is not expended if it is negated by an attack.",Tough -  Special Attention,Physical,Fighting,,o,,,o,,,,,
Force Palm,,,6,At-Will,2,"Melee, 1 Target",Force Palm Paralyzes the target on 18+.,Cool - Desperation,Physical,Fighting,o,o,o,,,,,,,
Hammer Arm,,,10,EOT,3,"Melee, 1 Target",The user lowers their Speed by -1 CS.,Cool - Desperation,Physical,Fighting,,o,,,o,,,,,o
High Jump Kick,,,13,EOT,3,"Melee, Dash, 1 Target","If High Jump Kick misses, the user loses Hit Points equal to 1/4th of their Max Hit Points. A failure to hit due to a Move with the Shield keyword does not count as a miss. This cannot be used if Gravity is in effect.",Cool - Steady Performance,Physical,Fighting,,o,,o,,,,,,o
Jump Kick,,,10,At-Will,3,"Melee, Dash, 1 Target","If Jump Kick misses, the user loses Hit Points equal to 1/4th of their Max Hit Points. A failure to hit due to a Move with the Shield keyword does not count as a miss. This cannot be used if Gravity is in effect.",Cool - Steady Performance,Physical,Fighting,,o,,o,,,,,,o
Karate Chop,,,5,At-Will,2,"Melee, 1 Target",Karate Chop is a Critical Hit on 17+.,Tough - Steady Performance,Physical,Fighting,,o,o,,,,,,,
Low Kick,,,"X, See Effect",EOT,2,"Melee, 1 Target, Weight Class",Low Kick's Damage Base is equal to twice the target's Weight Class.,Tough - Steady Performance,Physical,Fighting,,o,,,,,,,,
Low Sweep,,,7,EOT,2,"Melee, 1 Target",Lower the target’s Speed by -1 CS.,Tough - Steady Performance,Physical,Fighting,,o,,,,,,,,
Mach Punch,,,4,At-Will,2,"Melee, 1 Target, Priority",--,Cool - Saving Grace,Physical,Fighting,,o,o,,o,,,,,
Mat Block,,,--,Scene,--,"Self, Trigger, Interrupt, Shield","If the user or an adjacent ally is hit by a damagin attack, the user may use Mat Block. The attack instead does not hit any targets, and it deals no damage and has no effects. You may only use Mat Block during the first round of an encounter",Tough - Reflective Appeal,Status,Fighting,,,,,,,,,,
Meteor Assault,,,15,Daily x2,2,"Burst 1, Smite, Exhaust",--,Tough - Exhausting Act,Physical,Fighting,,,,,o,,,,,o
No Retreat,,,--,Scene,--,Self,"The user gains +1 CS in each stat. In addition, the user may not be recalled or switched out until the end of the Scene, and counts as Slowed for the purposes of any movement that would end further away from the nearest enemy than the user started.",Tough - Get Ready,Status,Fighting,,,,,,,,,,
Octolock,,,--,Scene,2,"Melee, 1 Target","The user initiates a Grapple Maneuver with the target, which automatically hits. If successful, until the user no longer has Dominance in the grapple, the target is Trapped and loses 1 CS in Defense and Special Defense at the end of each of their turns.",Tough - Sabotage,Status,Fighting,,o,,,,,,,,
Power-Up Punch,,,4,EOT,2,"Melee, 1 Target","If Power-Up Punch successfully hits a target, the user's Attack is raised by +1 Combat Stage",Tough - Catching Up,Physical,Fighting,,o,o,,o,,,,,
Quick Guard,,,--,Scene,--,"Melee, Interrupt, Shield, Trigger","If the user or an adjacent ally is targeted by a Priority or Interrupt Attack, Quick Guard may be declared as an Interrupt, causing the triggering attack to have no effect.",Cool - Inversed Appeal,Status,Fighting,,o,,,,,,,,
Revenge,,,6,EOT,2,"Melee, 1 Target","When declaring Revenge, the user does nothing and may not Shift. At the end of the round, the user may Shift and use Revenge. If the target damaged the user this round, Revenge has a Damage Base of 12 (4d10+15 / 40).",Tough - Double TIme,Physical,Fighting,,o,o,,,,,,,
Reversal,,,7,EOT,2,"Melee, 1 Target","For each Injury the user has, Reversal's Damage Base is increased by +1.",Cool - Double TIme,Physical,Fighting,,o,,,,,,,,
Rock Smash,,,4,At-Will,2,"Melee, 1 Target",Rock Smash lowers the target’s Defense 1 Combat Stage on 17+.,Tough - Desperation,Physical,Fighting,o,o,o,,,,,,,
Rolling Kick,,,6,At-Will,4,"Melee, 1 Target",Rolling Kick Flinches the target on 15+.,Cool - Steady Performance,Physical,Fighting,o,o,o,,,,,,,
Sacred Sword,,,8,EOT,--,"Melee, 1 Target",Sacred Sword cannot miss.,Cool - Steady Performance,Physical,Fighting,,o,,,,,,,,
Secret Sword,,,8,At-Will,2,"Melee, 1 Target","When calculating damage, the target subtracts their Defense from Secret Sword's damage instead of their Special Defense. Psyshock is still otherwise Special (Special Evasion is used to avoid it, Mirror Coat can reflect it, etc.)",Cool - Steady Performance,Special,Fighting,,o,,,,,,,,
Seismic Toss,,,--,Scene x2,2,"Melee, 1 Target",The target loses HP equal to the level of Seismic Toss's user. Do not apply weakness or resistance. Do not apply stats.,Tough - Steady Performance,Physical,Fighting,,o,,,,,,,,
Sky Uppercut,,,9,At-Will,4,"Melee, 1 Target, Interrupt","Sky Uppercut may be used as an Interrupt when against a target initiating Bounce, Fly, or Sky Drop. If Sky Uppercut successfully hits its target, the Triggering Move fails (though the target may take their next turn normally.)",Cool - Exhausting Act,Physical,Fighting,,o,,,o,,,,,
Storm Throw,,,6,EOT,2,"Melee, 1 Target","If Storm Throw hits, it is a Critical Hit.",Cool - Steady Performance,Physical,Fighting,,o,o,,,,,,,
Submission,,,8,At-Will,6,"Melee, 1 Target, Recoil 1/3","On an accuracy roll of 15+, the target is Tripped.",Cool - Steady Performance,Physical,Fighting,o,o,,o,,,,,,o
Superpower,,,12,Scene x2,2,"Melee, 1 Target, Dash",Superpower lowers the user's Attack and Defense by 1 Combat Stage each.,Tough - Desperation,Physical,Fighting,,o,,,,,,,,o
Thunderous Kick,,,9,EOT,2,"Melee, 1 Target","All legal targets hit lose 1 Defense Combat Stage. Once per Scene, Thunderous Kick may instead be used as an Electric-Type Move.",Tough - Good Show,Physical,Fighting,,o,,,,,,,,
Triple Arrows,,,5,EOT,2,"4, 1 Target","Targets hit by Triple Arrows lose 1 CS in both  Defense and Special Defense. 

After attacking with Triple Arrows, hit or miss, the user may Disengage 2m and attack a different target with Triple Arrows. This effect may be repeated a second time, targeting a creature that has not been targeted by either prior attack. Before making each attack roll, the user can elect to give up triggering allremaining additional shifts and attacks. Triple Arrowsgains +1 Accuracy and +1 DB for each attack that is given up. Triple Arrows always benefits from the Technician Ability.

Once Daily, after all attacks with Triple Arrows have been resolved, the user becomes Pumped. While Pumped, the user’s Critical Range is extended by 2, or 18+ if the Critical Range is not otherwise extended. Being switched will cause this effect to end.
",Cool - Special Attention,Physical,Fighting,,,o,,,,,,,
Triple Kick,,,"X, See Effect",At-Will,3,"Melee, 1 Target","Make three attacks with Triple Kick. If you hit once, Triple Kick has a DB of 1. If you hit two times, Triple Kick has a DB of 3. If you hit three times, Triple Kick has a DB of 6.",Cool - Reliable,Physical,Fighting,,o,,,,,,,,
Triple Kick [LA],,,4,At-Will,3,"Melee, 1 Target","After attacking with Triple Kick, hit or miss, the user may Disengage 2m and attack a different target with Triple Kick. This effect may be repeated a second time, targeting a creature that has not been targeted by either prior attack. Before making each attack roll, the user can elect to give up triggering all remaining additional shifts and attacks. Triple Kick gains +1 Accuracy and +2 DB for each attack that is given up. Triple Kick always benefits from the Technician Ability.",Cool - Reliable,Physical,Fighting,,o,o,,,,,,,
Vacuum Wave,,,4,At-Will,2,"4, 1 Target, Priority, Aura",--,Smart - Saving Grace,Special,Fighting,,,o,,,,,,,
Victory Dance,,,--,EOT,--,Self,"If the user performs a Fighting Move on their next turn that deals damage, add its Damage Dice Roll an extra time to the damage. Raise the user’s Defense 1 Combat Stage.",Cool - Get Ready!,Status,Fighting,,,,,,,,,,
